时间（周）,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）
201525,0.858204146,1.637302494,0.079105798
201526,0.947298537,1.726396885,0.168200189
201527,0.860314988,1.639413337,0.08121664
201528,1.213050562,1.992148911,0.433952214
201529,1.302533045,2.081631393,0.523434697
201530,0.894029651,1.673127999,0.114931303
201531,0.890617809,1.669716157,0.111519461
201532,1.097196346,1.876294694,0.318097998
201533,0.875254001,1.654352349,0.096155652
201534,0.84917899,1.628277338,0.070080641
201535,0.992146182,1.77124453,0.213047834
201536,0.977964422,1.75706277,0.198866074
201537,1.01759323,1.796691578,0.238494882
201538,0.896401028,1.675499376,0.11730268
201539,0.950273617,1.729371965,0.171175269
201540,0.6382831,1.417381448,-0.140815249
201541,0.801010038,1.580108386,0.02191169
201542,0.638927184,1.418025532,-0.140171164
201543,0.770666026,1.549764374,-0.008432322
201544,0.6985001,1.477598448,-0.080598249
201545,0.553111032,1.332209381,-0.225987316
201546,0.683473113,1.462571462,-0.095625235
201547,0.714697769,1.493796118,-0.064400579
201548,0.62303337,1.402131718,-0.156064979
201549,0.746164426,1.525262774,-0.032933922
201550,0.661080231,1.440178579,-0.118018118
201551,0.704009975,1.483108323,-0.075088373
201552,0.615892042,1.39499039,-0.163206306
201553,0.606529344,1.385627692,-0.172569005
201601,0.835446055,1.614544404,0.056347707
201602,0.640153061,1.419251409,-0.138945287
201603,0.789647826,1.568746174,0.010549478
201604,0.831366587,1.610464935,0.052268238
201605,0.878918191,1.65801654,0.099819843
201606,0.779754708,1.558853056,0.00065636
201607,0.724243189,1.503341537,-0.05485516
201608,0.876370724,1.655469072,0.097272376
201609,0.685421379,1.464519727,-0.093676969
201610,0.883873033,1.662971381,0.104774685
201611,1.000994067,1.780092415,0.221895719
201612,0.727682844,1.506781192,-0.051415504
201613,0.746384282,1.525482631,-0.032714066
201614,0.857109376,1.636207724,0.078011027
201615,0.89162387,1.670722218,0.112525522
201616,0.706067449,1.485165798,-0.073030899
201617,0.697985643,1.477083992,-0.081112705
201618,0.84471366,1.623812008,0.065615312
201619,0.760004653,1.539103001,-0.019093695
201620,0.796539528,1.575637876,0.01744118
201621,0.931009101,1.710107449,0.151910752
201622,0.91456001,1.693658358,0.135461662
201623,0.778992808,1.558091157,-0.00010554
201624,0.821655232,1.60075358,0.042556884
201625,0.754514282,1.53361263,-0.024584066
201626,0.819691063,1.598789411,0.040592715
201627,0.661204073,1.440302421,-0.117894276
201628,0.754857001,1.53395535,-0.024241347
201629,0.753008524,1.532106872,-0.026089824
201630,0.712546762,1.49164511,-0.066551586
201631,0.798411066,1.577509414,0.019312718
201632,0.800624418,1.579722766,0.02152607
201633,0.724750646,1.503848994,-0.054347702
201634,0.806794332,1.585892681,0.027695984
201635,0.941178481,1.72027683,0.162080133
201636,0.907467891,1.686566239,0.128369542
201637,0.807369625,1.586467973,0.028271277
201638,0.776357154,1.555455502,-0.002741194
201639,0.839754846,1.618853194,0.060656498
201640,0.708893256,1.487991605,-0.070205092
201641,1.10628672,1.885385068,0.327188372
201642,0.852383482,1.63148183,0.073285134
201643,0.838883729,1.617982077,0.059785381
201644,0.764183025,1.543281373,-0.014915323
201645,0.965769449,1.744867797,0.1866711
201646,0.735403734,1.514502082,-0.043694614
201647,1.033304092,1.81240244,0.254205744
201648,0.878987209,1.658085558,0.099888861
201649,1.01967289,1.798771238,0.240574541
201650,0.87797768,1.657076028,0.098879331
201651,1.056522336,1.835620684,0.277423988
201652,0.823707183,1.602805531,0.044608835
201701,0.93794427,1.717042619,0.158845922
201702,0.850435779,1.629534128,0.071337431
201703,0.747817473,1.526915821,-0.031280875
201704,0.997682587,1.776780935,0.218584238
201705,0.886912865,1.666011214,0.107814517
201706,0.63607061,1.415168959,-0.143027738
201707,0.971183997,1.750282345,0.192085649
201708,0.754569268,1.533667617,-0.02452908
201709,0.791364378,1.570462727,0.01226603
201710,0.715735659,1.494834007,-0.063362689
201711,0.826010969,1.605109317,0.04691262
201712,0.747583123,1.526681471,-0.031515225
201713,0.613438136,1.392536484,-0.165660213
201714,0.796716491,1.575814839,0.017618143
201715,0.73875125,1.517849598,-0.040347099
201716,0.610627371,1.389725719,-0.168470977
201717,0.698071028,1.477169376,-0.08102732
201718,0.722175428,1.501273776,-0.056922921
201719,0.724606889,1.503705237,-0.054491459
201720,0.692751553,1.471849902,-0.086346795
201721,0.712137078,1.491235426,-0.066961271
201722,0.867408366,1.646506715,0.088310018
201723,0.832651164,1.611749513,0.053552816
201724,0.752702629,1.531800977,-0.02639572
201725,0.799937623,1.579035972,0.020839275
201726,0.768405585,1.547503933,-0.010692763
201727,0.845136042,1.624234391,0.066037694
201728,0.67882693,1.457925279,-0.100271418
201729,0.781182119,1.560280467,0.00208377
201730,0.65030997,1.429408318,-0.128788378
201731,0.619720516,1.398818864,-0.159377832
201732,0.8079525,1.587050848,0.028854152
201733,0.753766805,1.532865154,-0.025331543
201734,0.774798703,1.553897051,-0.004299645
201735,0.579752253,1.358850602,-0.199346095
201736,0.752866328,1.531964676,-0.02623202
