,word,weight
0,上合,1.0
1,东盟,0.8138046520163325
2,反倾销,0.5330523088714313
3,中非,0.5027293144735472
4,一带一路,0.4942484455147383
5,贸易战,0.48605013454184964
6,世贸组织,0.4860214234464192
7,美方,0.46269163533007174
8,中东欧,0.4503544740371718
9,欧盟,0.44917562444630654
10,加征,0.44381107491856675
11,协定,0.44134944805825144
12,双反调查,0.4335260945055891
13,两岸,0.4194492152798342
14,反补贴,0.4161237785016286
15,中方,0.39704292374544625
16,关税,0.3887475819864234
17,丝绸之路,0.38679800635767825
18,亚太经合组织,0.3591205211726384
19,会晤,0.3518905379048147
20,东盟国家,0.3512904034076672
21,王毅,0.3497221689978923
22,欧委会,0.3397137942392856
23,访华,0.32981799808645357
24,拉美,0.32675882941342427
25,中日韩,0.32369016728316674
26,十国集团,0.3221190464615036
