,word,weight
0,小龙虾,1.0
1,首店,0.8163628279235217
2,盒马,0.8044963391136801
3,星巴克,0.8037646361345783
4,家乐福,0.7892686604674541
5,王府井,0.7761707112118357
6,外卖,0.7689962436321848
7,麦当劳,0.7436720111936875
8,便利店,0.7148051463732985
9,骑手,0.6799689782686869
10,老字号,0.6608955959640935
11,海底,0.65930215851192
12,火锅,0.6470268201211121
13,奈雪,0.6446771559656809
14,太古,0.6338756868621994
15,餐饮企业,0.6239039873393017
16,大悦,0.620132188010962
17,门店,0.6067518609857457
18,喜茶,0.5846108737538744
19,步行街,0.5699704338582156
20,奶茶,0.560259586271147
21,小店,0.5320887292192822
22,永辉,0.5238583593049377
23,三里屯,0.49562056692833883
24,西单,0.48074841419324116
25,商场,0.4531255087923978
26,肯德基,0.4517198315849569
27,咖啡,0.4512402725756873
28,预制,0.4461364379976006
